userId,movieId,rating
613,76093,4.5  # How to Train Your Dragon (2010) [Animation|Children|Fantasy]
613,59784,4.0  # Kung Fu Panda (2008) [Animation|Children|Comedy]
613,79091,4.0  # Despicable Me (2010) [Animation|Children|Comedy]
613,134853,4.5 # Inside Out (2015) [Animation|Children|Comedy|Drama]

# --- 614: HORROR FAN -- expect horror recs ---
614,1258,5.0   # The Shining (1980) [Horror]
614,1214,5.0   # Alien (1979) [Horror|Sci-Fi]
614,1997,4.5   # The Exorcist (1973) [Horror|Mystery]
614,1982,4.0   # Halloween (1978) [Horror]
614,2288,4.5   # The Thing (1982) [Horror|Sci-Fi]
614,1347,4.0   # A Nightmare on Elm Street (1984) [Horror|Thriller]
614,1407,4.0   # Scream (1996) [Horror|Comedy|Mystery]
614,8874,4.5   # Shaun of the Dead (2004) [Horror|Comedy]
614,593,5.0    # The Silence of the Lambs (1991) [Crime|Horror|Thriller]
614,1219,5.0   # Psycho (1960) [Crime|Horror]
614,1387,4.5   # Jaws (1975) [Action|Horror]
614,2459,4.0   # The Texas Chainsaw Massacre (1974) [Horror]
614,968,4.5    # Night of the Living Dead (1968) [Horror|Sci-Fi]
614,2160,4.5   # Rosemary's Baby (1968) [Drama|Horror|Thriller]
614,4105,4.0   # The Evil Dead (1981) [Fantasy|Horror|Thriller]
614,6502,4.5   # 28 Days Later (2002) [Action|Horror|Sci-Fi]
614,5679,4.0   # The Ring (2002) [Horror|Mystery|Thriller]
614,8957,4.0   # Saw (2004) [Horror|Mystery|Thriller]

# --- 615: ALL OVER THE PLACE -- mixed genres AND ratings, no clear signal ---
615,1,4.0      # Toy Story (1995) [Animation|Children]
615,1036,5.0   # Die Hard (1988) [Action|Crime|Thriller]
615,8533,2.0   # The Notebook (2004) [Drama|Romance]   (dislike)
615,1997,4.0   # The Exorcist (1973) [Horror|Mystery]
615,296,5.0    # Pulp Fiction (1994) [Crime|Drama]
615,1230,3.0   # Annie Hall (1977) [Comedy|Romance]
615,924,4.0    # 2001: A Space Odyssey (1968) [Sci-Fi|Drama]
615,1721,2.5   # Titanic (1997) [Drama|Romance]   (lukewarm)
615,858,5.0    # The Godfather (1972) [Crime|Drama]
615,356,3.5    # Forrest Gump (1994) [Comedy|Drama|Romance]
615,69122,2.0  # The Hangover (2009) [Comedy|Crime]   (dislike)
615,260,4.0    # Star Wars: A New Hope (1977) [Action|Adventure|Sci-Fi]
615,480,4.0    # Jurassic Park (1993) [Action|Adventure|Sci-Fi]
615,318,4.5    # The Shawshank Redemption (1994) [Crime|Drama]
615,72998,3.0  # Avatar (2009) [Action|Adventure|Sci-Fi]
615,4993,4.0   # LOTR: Fellowship of the Ring (2001) [Adventure|Fantasy]
615,7451,1.5   # Mean Girls (2004) [Comedy]   (dislike)
615,3578,3.5   # Gladiator (2000) [Action|Adventure|Drama]
